date,activity_type,duration_seconds,distance_km,avg_hr,max_hr,avg_pace_min_km,calories,elevation_gain_m
2026-07-19,running,2528,8.42,153,169,5.01,594,9
2026-07-21,running,2468,8.08,150,172,5.09,570,80
2026-07-22,running,2332,7.65,147,163,5.08,546,69
2026-07-26,running,2425,7.79,148,161,5.19,472,14
2026-07-27,running,2855,8.89,150,177,5.35,667,61
2026-07-29,running,2471,7.64,149,162,5.39,535,0
2026-07-30,running,2730,8.34,151,169,5.45,621,37
2026-07-31,running,2778,8.73,165,183,5.31,636,29
2026-08-04,running,2611,8.19,162,192,5.31,636,51
2026-08-07,running,2844,8.81,162,176,5.38,646,109
2026-08-08,running,2461,7.81,157,182,5.25,476,57
2026-08-10,running,2737,8.41,170,196,5.43,640,12
2026-08-11,running,3405,10.45,163,185,5.43,817,37
2026-08-12,running,3455,10.43,163,194,5.52,809,30
2026-08-14,running,3010,9.45,161,177,5.31,682,21
2026-08-15,running,2710,8.56,154,190,5.28,630,62
2026-08-16,running,2739,8.66,168,187,5.27,659,21
2026-08-17,running,2967,9.57,163,179,5.17,711,74
